mechanic_id,id,representation,kind,unit,role,domain,rounding,cap,source_refs
king-bible-duration-cooldown-lifecycle,king-bible-amount,Int,projectile-count,projectile,parameter,"1 at level 1; positive integer",,"20 after admitted modifiers in the cited table",vswiki-king-bible
king-bible-duration-cooldown-lifecycle,king-bible-area,Fixed,area-scale,ratio,parameter,"1.0000 at level 1; positive",fixed-4 exact,,vswiki-king-bible
king-bible-duration-cooldown-lifecycle,king-bible-base-damage,Int,damage,damage-point,parameter,"10 on this level-1 slice; nonnegative integer",,,vswiki-king-bible
king-bible-duration-cooldown-lifecycle,king-bible-base-duration,Fixed,effect-duration,second,parameter,"3.0000 seconds at level 1; 4.0000 at level 8",fixed-4 exact,,vswiki-king-bible
king-bible-duration-cooldown-lifecycle,king-bible-cooldown-after-duration,Fixed,action-cooldown,second,parameter,3.0000 seconds after the base active duration ends,fixed-4 exact,,vswiki-king-bible
king-bible-duration-cooldown-lifecycle,king-bible-hitbox-delay,Fixed,per-target-hit-delay,second,parameter,1.7000 seconds,fixed-4 exact,,vswiki-king-bible
king-bible-duration-cooldown-lifecycle,king-bible-pool-limit,Int,projectile-capacity,projectile,constant,50,,50 active projectiles,vswiki-king-bible
king-bible-duration-cooldown-lifecycle,king-bible-speed,Fixed,orbital-speed-scale,ratio,parameter,"1.0000 at level 1; positive",fixed-4 exact,,vswiki-king-bible
mad-forest-bounded-wave-schedule,mad-forest-run-soft-limit,Fixed,encounter-time-limit,second,parameter,1800.0000 seconds for regular Mad Forest,fixed-4 exact,1800.0000 before the terminal Reaper transition in this controlled scenario,vswiki-mad-forest;wikipedia-gameplay
mad-forest-bounded-wave-schedule,wave-one-enemy-minimum,Int,encounter-entity-minimum,enemy,parameter,30 at minute 1 candidate slice,,,vswiki-mad-forest
mad-forest-bounded-wave-schedule,wave-one-spawn-interval,Fixed,spawn-interval,second,parameter,1.0000 seconds candidate value,fixed-4 exact,,vswiki-mad-forest
mad-forest-bounded-wave-schedule,wave-two-enemy-minimum,Int,encounter-entity-minimum,enemy,parameter,50 at minute 2 candidate slice,,,vswiki-mad-forest
